report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3_orkg_d1_b1,d1_b1,0.95,0.92,0.47,0.93,0.65,0.784,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d1_b1.md
10_o3_orkg_d1_b4,d1_b4,0.92,0.96,0.6,0.93,0.6,0.802,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d1_b4.md
10_o3_orkg_d4_b1,d4_b1,0.87,0.92,0.62,0.95,0.3,0.732,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d4_b1.md
10_o3_orkg_d4_b4,d4_b4,0.95,0.95,0.85,0.95,0.88,0.916,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d4_b4.md
11_o3_orkg_d1_b1,d1_b1,0.92,0.93,0.92,0.92,0.94,0.926,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d1_b1.md
11_o3_orkg_d1_b4,d1_b4,0.57,0.93,0.43,0.78,0.73,0.688,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d1_b4.md
11_o3_orkg_d4_b1,d4_b1,0.65,0.93,0.4,0.94,0.78,0.74,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d4_b1.md
11_o3_orkg_d4_b4,d4_b4,0.75,0.92,0.95,0.92,0.92,0.892,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d4_b4.md
12_o3_orkg_d1_b1,d1_b1,0.65,0.95,0.93,0.92,0.7,0.83,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d1_b1.md
12_o3_orkg_d1_b4,d1_b4,0.93,0.93,0.87,0.8,0.87,0.88,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d1_b4.md
12_o3_orkg_d4_b1,d4_b1,0.87,0.92,0.72,0.95,0.88,0.868,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d4_b1.md
12_o3_orkg_d4_b4,d4_b4,0.92,0.92,0.88,0.93,0.93,0.916,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d4_b4.md
13_o3_orkg_d1_b1,d1_b1,0.65,0.94,0.25,0.93,0.6,0.674,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/13_o3_orkg_d1_b1.md
13_o3_orkg_d1_b4,d1_b4,0.8,0.92,0.95,0.96,0.63,0.852,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/13_o3_orkg_d1_b4.md
13_o3_orkg_d4_b1,d4_b1,0.87,0.88,0.08,0.94,0.85,0.724,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/13_o3_orkg_d4_b1.md
13_o3_orkg_d4_b4,d4_b4,0.94,0.95,0.8,0.93,0.92,0.908,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/13_o3_orkg_d4_b4.md
14_o3_orkg_d1_b1,d1_b1,0.65,0.96,1.0,0.93,0.92,0.892,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/14_o3_orkg_d1_b1.md
14_o3_orkg_d1_b4,d1_b4,0.62,0.94,0.93,0.95,0.92,0.872,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/14_o3_orkg_d1_b4.md
14_o3_orkg_d4_b1,d4_b1,0.62,0.67,0.92,0.94,0.95,0.82,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/14_o3_orkg_d4_b1.md
14_o3_orkg_d4_b4,d4_b4,0.45,0.67,0.97,0.93,0.9,0.784,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/14_o3_orkg_d4_b4.md
15_o3_orkg_d1_b1,d1_b1,0.78,0.92,0.6,0.92,0.92,0.828,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/15_o3_orkg_d1_b1.md
15_o3_orkg_d1_b4,d1_b4,0.85,0.95,0.7,0.93,0.95,0.876,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/15_o3_orkg_d1_b4.md
15_o3_orkg_d4_b1,d4_b1,0.87,0.93,0.85,0.92,0.83,0.88,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/15_o3_orkg_d4_b1.md
15_o3_orkg_d4_b4,d4_b4,0.78,0.94,0.6,0.9,0.8,0.804,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/15_o3_orkg_d4_b4.md
16_o3_orkg_d1_b1,d1_b1,0.95,0.96,0.87,0.95,0.88,0.922,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/16_o3_orkg_d1_b1.md
16_o3_orkg_d1_b4,d1_b4,0.92,0.93,0.87,0.88,0.93,0.906,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/16_o3_orkg_d1_b4.md
16_o3_orkg_d4_b1,d4_b1,0.8,0.92,0.55,0.93,0.87,0.814,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/16_o3_orkg_d4_b1.md
