report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3-mini_orkg_d1_b1,d1_b1,0.67,0.73,0.61,0.73,0.67,0.682,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b1.md
10_o3-mini_orkg_d1_b4,d1_b4,0.76,0.78,0.56,0.66,0.62,0.676,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b4.md
10_o3-mini_orkg_d4_b1,d4_b1,0.67,0.83,0.58,0.67,0.68,0.686,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b1.md
10_o3-mini_orkg_d4_b4,d4_b4,0.76,0.87,0.57,0.82,0.62,0.728,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b4.md
11_o3-mini_orkg_d1_b1,d1_b1,0.63,0.63,0.57,0.69,0.88,0.68,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b1.md
11_o3-mini_orkg_d1_b4,d1_b4,0.68,0.73,0.63,0.72,0.83,0.718,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b4.md
11_o3-mini_orkg_d4_b1,d4_b1,0.78,0.86,0.64,0.9,0.82,0.8,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b1.md
11_o3-mini_orkg_d4_b4,d4_b4,0.67,0.82,0.68,0.92,0.72,0.762,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b4.md
12_o3-mini_orkg_d1_b1,d1_b1,0.72,0.68,0.44,0.68,0.63,0.63,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b1.md
12_o3-mini_orkg_d1_b4,d1_b4,0.63,0.83,0.61,0.74,0.62,0.686,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b4.md
12_o3-mini_orkg_d4_b1,d4_b1,0.73,0.83,0.62,0.71,0.66,0.71,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b1.md
12_o3-mini_orkg_d4_b4,d4_b4,0.78,0.83,0.68,0.82,0.66,0.754,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b4.md
13_o3-mini_orkg_d1_b1,d1_b1,0.68,0.73,0.45,0.63,0.72,0.642,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b1.md
