report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3_orkg_d1_b1,d1_b1,0.92,0.88,0.57,0.89,0.69,0.79,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d1_b1.md
10_o3_orkg_d1_b4,d1_b4,0.87,0.94,0.69,0.94,0.76,0.84,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d1_b4.md
10_o3_orkg_d4_b1,d4_b1,0.83,0.91,0.62,0.89,0.78,0.806,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d4_b1.md
10_o3_orkg_d4_b4,d4_b4,0.94,0.96,0.79,0.91,0.89,0.898,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/10_o3_orkg_d4_b4.md
11_o3_orkg_d1_b1,d1_b1,0.94,0.91,0.76,0.92,0.94,0.894,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d1_b1.md
11_o3_orkg_d1_b4,d1_b4,0.82,0.84,0.74,0.94,0.93,0.854,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d1_b4.md
11_o3_orkg_d4_b1,d4_b1,0.86,0.89,0.63,0.93,0.92,0.846,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d4_b1.md
11_o3_orkg_d4_b4,d4_b4,0.87,0.93,0.88,0.93,0.89,0.9,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/11_o3_orkg_d4_b4.md
12_o3_orkg_d1_b1,d1_b1,0.91,0.96,0.89,0.89,0.82,0.894,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d1_b1.md
12_o3_orkg_d1_b4,d1_b4,0.94,0.92,0.87,0.82,0.83,0.876,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d1_b4.md
12_o3_orkg_d4_b1,d4_b1,0.83,0.86,0.74,0.93,0.89,0.85,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d4_b1.md
12_o3_orkg_d4_b4,d4_b4,0.94,0.93,0.83,0.92,0.93,0.91,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/12_o3_orkg_d4_b4.md
13_o3_orkg_d1_b1,d1_b1,0.74,0.88,0.54,0.92,0.82,0.78,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/13_o3_orkg_d1_b1.md
13_o3_orkg_d1_b4,d1_b4,0.89,0.92,0.93,0.93,0.93,0.92,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/13_o3_orkg_d1_b4.md
13_o3_orkg_d4_b1,d4_b1,0.73,0.86,0.57,0.91,0.91,0.796,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/13_o3_orkg_d4_b1.md
13_o3_orkg_d4_b4,d4_b4,0.83,0.94,0.89,0.91,0.88,0.89,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/13_o3_orkg_d4_b4.md
14_o3_orkg_d1_b1,d1_b1,0.73,0.82,0.91,0.94,0.84,0.848,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/14_o3_orkg_d1_b1.md
14_o3_orkg_d1_b4,d1_b4,0.89,0.92,0.93,0.94,0.93,0.922,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/14_o3_orkg_d1_b4.md
14_o3_orkg_d4_b1,d4_b1,0.89,0.82,0.89,0.94,0.92,0.892,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/14_o3_orkg_d4_b1.md
14_o3_orkg_d4_b4,d4_b4,0.87,0.91,0.91,0.92,0.93,0.908,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/14_o3_orkg_d4_b4.md
15_o3_orkg_d1_b1,d1_b1,0.88,0.87,0.53,0.83,0.91,0.804,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/15_o3_orkg_d1_b1.md
15_o3_orkg_d1_b4,d1_b4,0.91,0.92,0.66,0.94,0.91,0.868,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/15_o3_orkg_d1_b4.md
15_o3_orkg_d4_b1,d4_b1,0.92,0.86,0.76,0.91,0.83,0.856,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/15_o3_orkg_d4_b1.md
15_o3_orkg_d4_b4,d4_b4,0.95,0.97,0.82,0.92,0.94,0.92,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/15_o3_orkg_d4_b4.md
16_o3_orkg_d1_b1,d1_b1,0.93,0.97,0.79,0.92,0.87,0.896,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/16_o3_orkg_d1_b1.md
16_o3_orkg_d1_b4,d1_b4,0.91,0.93,0.67,0.89,0.93,0.866,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/16_o3_orkg_d1_b4.md
16_o3_orkg_d4_b1,d4_b1,0.83,0.93,0.66,0.89,0.81,0.824,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/16_o3_orkg_d4_b1.md
16_o3_orkg_d4_b4,d4_b4,0.94,0.96,0.78,0.93,0.93,0.908,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/16_o3_orkg_d4_b4.md
17_o3_orkg_d1_b1,d1_b1,0.94,0.91,0.79,0.91,0.92,0.894,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/17_o3_orkg_d1_b1.md
17_o3_orkg_d1_b4,d1_b4,0.96,0.83,0.79,0.88,0.82,0.856,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/17_o3_orkg_d1_b4.md
17_o3_orkg_d4_b1,d4_b1,0.94,0.86,0.81,0.93,0.92,0.892,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/17_o3_orkg_d4_b1.md
17_o3_orkg_d4_b4,d4_b4,0.96,0.91,0.86,0.93,0.87,0.906,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/17_o3_orkg_d4_b4.md
18_o3_orkg_d1_b1,d1_b1,0.82,0.83,0.94,0.92,0.91,0.884,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/18_o3_orkg_d1_b1.md
18_o3_orkg_d1_b4,d1_b4,0.93,0.91,0.93,0.92,0.72,0.882,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/18_o3_orkg_d1_b4.md
18_o3_orkg_d4_b1,d4_b1,0.64,0.92,0.94,0.94,0.97,0.882,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/18_o3_orkg_d4_b1.md
18_o3_orkg_d4_b4,d4_b4,0.83,0.92,0.93,0.94,0.83,0.89,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/18_o3_orkg_d4_b4.md
19_o3_orkg_d1_b1,d1_b1,0.93,0.83,0.69,0.92,0.93,0.86,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/19_o3_orkg_d1_b1.md
19_o3_orkg_d1_b4,d1_b4,0.92,0.91,0.76,0.93,0.81,0.866,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/19_o3_orkg_d1_b4.md
19_o3_orkg_d4_b1,d4_b1,0.93,0.84,0.59,0.92,0.86,0.828,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/19_o3_orkg_d4_b1.md
19_o3_orkg_d4_b4,d4_b4,0.96,0.93,0.69,0.94,0.83,0.87,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/19_o3_orkg_d4_b4.md
1_o3_orkg_d1_b1,d1_b1,0.95,0.93,0.83,0.87,0.83,0.882,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/1_o3_orkg_d1_b1.md
1_o3_orkg_d1_b4,d1_b4,0.94,0.93,0.74,0.94,0.93,0.896,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/1_o3_orkg_d1_b4.md
1_o3_orkg_d4_b1,d4_b1,0.94,0.89,0.58,0.94,0.83,0.836,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/1_o3_orkg_d4_b1.md
1_o3_orkg_d4_b4,d4_b4,0.94,0.97,0.83,0.93,0.81,0.896,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/1_o3_orkg_d4_b4.md
20_o3_orkg_d1_b1,d1_b1,0.87,0.93,0.62,0.88,0.73,0.806,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/20_o3_orkg_d1_b1.md
20_o3_orkg_d1_b4,d1_b4,0.89,0.94,0.83,0.92,0.94,0.904,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/20_o3_orkg_d1_b4.md
20_o3_orkg_d4_b1,d4_b1,0.94,0.94,0.81,0.93,0.89,0.902,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/20_o3_orkg_d4_b1.md
20_o3_orkg_d4_b4,d4_b4,0.94,0.93,0.79,0.94,0.94,0.908,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/20_o3_orkg_d4_b4.md
21_o3_orkg_d1_b1,d1_b1,0.96,0.92,0.87,0.92,0.92,0.918,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/21_o3_orkg_d1_b1.md
21_o3_orkg_d1_b4,d1_b4,0.94,0.92,0.63,0.76,0.94,0.838,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/21_o3_orkg_d1_b4.md
21_o3_orkg_d4_b1,d4_b1,0.94,0.84,0.78,0.74,0.73,0.806,/nfs/home/sandere/deep-research/data/ecology-reports/orkg-ask/o3/21_o3_orkg_d4_b1.md
